IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "L* a* b* Batch average data (light D50, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "September 13, 2018"
PROD_DATE "2018:07"
SAMPLE_BACKING "white"
SERIAL "R180730"
MATERIAL "Kodak Professional Endura Premier"
NUMBER_OF_FIELDS 13
BEGIN_DATA_FORMAT
SAMPLE_ID  XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H          D_RED  D_GREEN  D_BLUE  D_VIS
END_DATA_FORMAT
NUMBER_OF_SETS 288
BEGIN_DATA
A01          3.51    2.98    2.09          19.96   10.73    3.24          11.21   16.81           1.35    1.63    1.58    1.49
A02          4.52    3.07    1.80          20.33   23.76    6.80          24.71   15.97           1.18    1.79    1.65    1.44
A03          5.26    3.09    1.53          20.39   32.71    9.83          34.15   16.73           1.09    1.97    1.73    1.41
A04          5.71    3.31    1.63          21.23   34.38   10.08          35.83   16.35           1.05    1.96    1.70    1.37
A05         12.96   11.25    8.06          40.00   14.74    4.43          15.39   16.74           0.78    1.04    1.00    0.92
A06         15.14   11.20    7.09          39.91   28.76    8.16          29.89   15.84           0.67    1.15    1.06    0.89
A07         17.43   11.13    6.18          39.80   42.18   11.90          43.83   15.75           0.58    1.30    1.12    0.87
A08         20.48   11.16    5.16          39.84   57.64   16.89          60.07   16.33           0.50    1.53    1.21    0.83
A09         41.25   40.57   32.29          69.88    6.58    1.77           6.82   15.08           0.34    0.41    0.41    0.38
A10        42.92   40.10   30.55          69.54   13.08    3.87          13.64   16.49           0.30    0.45    0.43    0.38
A11        45.27   40.13   29.49          69.56   19.79    5.59          20.57   15.77           0.25    0.47    0.45    0.37
A12        47.01   39.92   28.03          69.41   25.37    7.70          26.52   16.89           0.22    0.50    0.47    0.37
A13        73.10   77.33   63.61          90.48   -3.03    0.20           3.04  176.28           0.13    0.10    0.12    0.11
A14        72.73   74.20   62.58          89.02    2.49   -1.32           2.82  332.04           0.11    0.13    0.13    0.13
A15        75.51   78.98   63.64          91.23   -1.31    1.47           1.97  131.88           0.10    0.10    0.12    0.10
A16        73.59   76.49   63.16          90.09   -0.35   -0.04           0.35  185.86           0.11    0.11    0.12    0.12
A17        75.09   78.36   62.84          90.94   -0.96    1.75           2.00  118.60           0.11    0.10    0.12    0.11
A18        75.46   79.02   63.63          91.25   -1.50    1.51           2.12  134.84           0.11    0.10    0.12    0.10
